date,cumulative,new,samples,percentpositive
05-Mar,0,0,nan,nan
06-Mar,0,0,nan,nan
07-Mar,1,1,nan,nan
08-Mar,0,0,nan,nan
09-Mar,1,0,63,1.59
10-Mar,1,0,74,1.35
11-Mar,1,0,75,1.33
12-Mar,1,0,76,1.32
13-Mar,1,0,77,1.30
14-Mar,1,0,79,1.27
15-Mar,1,0,88,1.14
16-Mar,1,0,98,1.02
17-Mar,1,0,140,0.71
18-Mar,2,1,291,0.69
19-Mar,3,1,320,0.94
20-Mar,3,0,333,0.90
21-Mar,6,3,412,1.46
22-Mar,7,1,443,1.58
23-Mar,9,2,552,1.63
24-Mar,15,6,743,2.02
25-Mar,23,8,890,2.58
26-Mar,29,6,1039,2.79
27-Mar,38,9,1243,3.06
28-Mar,42,4,1500,2.80
29-Mar,50,8,1763,2.84
30-Mar,67,17,2040,3.28
31-Mar,124,57,2354,5.27
01-Apr,234,110,2726,8.58
02-Apr,309,75,3272,9.44
03-Apr,411,102,3684,11.16
04-Apr,485,74,4248,11.42
05-Apr,571,86,4612,12.38
06-Apr,621,50,5061,12.27
07-Apr,690,69,5305,13.01
08-Apr,738,48,6095,12.11
09-Apr,834,96,7267,11.48
10-Apr,911,77,8410,10.83
11-Apr,969,58,9842,9.85
12-Apr,1075,106,10655,10.09
